File,# of Commits,"corr(LOC, IntraCD)","corr(LOC, InterCD)","corr(LLOC, IntraCD)","corr(LLOC, InterCD)","corr(Entities, IntraCD)","corr(Entities, InterCD)"
activemq-client/src/main/java/org/apache/activemq/ActiveMQConnection.java,193,0.751,-0.829,0.751,-0.829,0.817,-0.887
activemq-client/src/main/java/org/apache/activemq/ActiveMQConnectionConsumer.java,18,0.714,0.714,0.714,0.714,0.765,0.765
activemq-client/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java,103,0.767,0.767,0.767,0.767,0.714,0.714
activemq-client/src/main/java/org/apache/activemq/ActiveMQConnectionMetaData.java,17,0.973,0.973,0.973,0.973,0.99,0.99
activemq-client/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,179,0.9,-0.827,0.9,-0.827,0.897,-0.821
activemq-client/src/main/java/org/apache/activemq/ActiveMQMessageProducer.java,34,-0.422,-0.422,-0.422,-0.422,-0.315,-0.315
activemq-client/src/main/java/org/apache/activemq/ActiveMQMessageTransformation.java,21,0.769,0.769,0.769,0.769,0.981,0.981
activemq-client/src/main/java/org/apache/activemq/ActiveMQPrefetchPolicy.java,20,0.928,0.928,0.928,0.928,0.965,0.965
activemq-client/src/main/java/org/apache/activemq/ActiveMQQueueBrowser.java,24,-0.389,-0.389,-0.389,-0.389,0.441,0.441
activemq-client/src/main/java/org/apache/activemq/ActiveMQQueueReceiver.java,14,0.52,0.52,0.52,0.52,nan,nan
activemq-client/src/main/java/org/apache/activemq/ActiveMQQueueSender.java,10,-0.99,-0.99,-0.99,-0.99,nan,nan
activemq-client/src/main/java/org/apache/activemq/ActiveMQQueueSession.java,15,0.601,0.601,0.601,0.601,0.426,0.426
activemq-client/src/main/java/org/apache/activemq/ActiveMQSession.java,121,0.974,-0.413,0.974,-0.413,0.923,-0.533
activemq-client/src/main/java/org/apache/activemq/ActiveMQSessionExecutor.java,31,0.531,0.531,0.531,0.531,0.773,0.773
activemq-client/src/main/java/org/apache/activemq/ActiveMQTopicPublisher.java,10,-0.783,-0.783,-0.783,-0.783,nan,nan
activemq-client/src/main/java/org/apache/activemq/ActiveMQTopicSession.java,14,0.441,0.441,0.441,0.441,0.948,0.948
activemq-client/src/main/java/org/apache/activemq/ActiveMQTopicSubscriber.java,12,-0.194,-0.194,-0.194,-0.194,nan,nan
activemq-client/src/main/java/org/apache/activemq/ActiveMQXAConnection.java,17,0.891,0.891,0.891,0.891,0.981,0.981
activemq-client/src/main/java/org/apache/activemq/ActiveMQXASession.java,15,0.777,-0.877,0.777,-0.877,0.959,-0.625
activemq-client/src/main/java/org/apache/activemq/AdvisoryConsumer.java,18,0.923,0.923,0.923,0.923,0.959,0.959
activemq-client/src/main/java/org/apache/activemq/AlreadyClosedException.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/ConfigurationException.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/ConnectionClosedException.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/ConnectionFailedException.java,13,0.951,0.951,0.951,0.951,0.995,0.995
activemq-client/src/main/java/org/apache/activemq/LocalTransactionEventListener.java,10,-0.383,-0.383,-0.383,-0.383,nan,nan
activemq-client/src/main/java/org/apache/activemq/MessageAvailableConsumer.java,9,0.378,0.378,0.378,0.378,nan,nan
activemq-client/src/main/java/org/apache/activemq/MessageDispatchChannel.java,12,0.981,0.981,0.981,0.981,0.976,0.976
activemq-client/src/main/java/org/apache/activemq/NotStartedException.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/Service.java,9,0.354,0.354,0.354,0.354,nan,nan
activemq-client/src/main/java/org/apache/activemq/TransactionContext.java,61,0.937,0.937,0.937,0.937,0.969,0.969
activemq-broker/src/main/java/org/apache/activemq/advisory/AdvisoryBroker.java,97,0.805,-0.683,0.805,-0.683,0.819,-0.655
activemq-client/src/main/java/org/apache/activemq/advisory/AdvisorySupport.java,41,0.965,0.965,0.965,0.965,0.978,0.978
activemq-broker/src/main/java/org/apache/activemq/broker/Broker.java,49,0.853,0.853,0.853,0.853,0.863,0.863
activemq-broker/src/main/java/org/apache/activemq/broker/BrokerFactory.java,20,0.628,0.628,0.628,0.628,0.823,0.823
activemq-broker/src/main/java/org/apache/activemq/broker/BrokerFilter.java,54,-0.101,-0.101,-0.101,-0.101,0.146,0.146
activemq-broker/src/main/java/org/apache/activemq/broker/BrokerRegistry.java,19,0.812,0.812,0.812,0.812,0.848,0.848
activemq-broker/src/main/java/org/apache/activemq/broker/BrokerService.java,355,0.962,-0.421,0.962,-0.421,0.945,-0.473
activemq-broker/src/main/java/org/apache/activemq/broker/CompositeDestinationBroker.java,13,0.693,0.693,0.693,0.693,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/Connection.java,22,0.922,0.922,0.922,0.922,0.873,0.873
activemq-broker/src/main/java/org/apache/activemq/broker/ConnectionContext.java,32,0.28,0.28,0.28,0.28,0.296,0.296
activemq-broker/src/main/java/org/apache/activemq/broker/Connector.java,17,0.945,0.945,0.945,0.945,0.938,0.938
activemq-broker/src/main/java/org/apache/activemq/broker/ErrorBroker.java,52,-0.811,-0.811,-0.811,-0.811,-0.702,-0.702
activemq-console/src/main/java/org/apache/activemq/console/Main.java,45,0.9,0.9,0.9,0.9,0.93,0.93
activemq-broker/src/main/java/org/apache/activemq/broker/MutableBrokerFilter.java,51,-0.385,-0.385,-0.385,-0.385,-0.185,-0.185
activemq-broker/src/main/java/org/apache/activemq/broker/TransactionBroker.java,39,0.962,0.508,0.962,0.508,0.986,0.536
activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,182,0.91,0.467,0.91,0.467,0.943,0.521
activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnector.java,100,0.837,0.72,0.837,0.72,0.887,0.678
activemq-broker/src/main/java/org/apache/activemq/broker/TransportStatusDetector.java,19,-0.691,-0.691,-0.691,-0.691,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/UserIDBroker.java,12,0.866,0.866,0.866,0.866,0.883,0.883
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/BrokerView.java,72,0.252,0.252,0.252,0.252,0.205,0.205
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/BrokerViewMBean.java,52,-0.662,-0.662,-0.662,-0.662,-0.635,-0.635
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ConnectionView.java,25,0.908,0.908,0.908,0.908,0.881,0.881
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ConnectionViewMBean.java,24,-0.373,-0.373,-0.373,-0.373,-0.238,-0.238
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ConnectorView.java,19,0.298,0.298,0.298,0.298,0.673,0.673
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ConnectorViewMBean.java,20,0.081,0.081,0.081,0.081,0.596,0.596
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/TopicView.java,7,-0.758,-0.758,-0.758,-0.758,-1.0,-1.0
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/TopicViewMBean.java,8,-0.007,-0.007,-0.007,-0.007,0.98,0.98
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedQueueRegion.java,18,0.394,0.394,0.394,0.394,0.328,0.328
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedRegionBroker.java,91,0.486,-0.463,0.486,-0.463,0.397,-0.387
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedTempQueueRegion.java,20,0.493,0.493,0.493,0.493,0.341,0.341
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedTempTopicRegion.java,16,0.641,0.641,0.641,0.641,0.697,0.697
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedTopicRegion.java,18,0.351,0.351,0.351,0.351,0.403,0.403
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnection.java,38,0.038,0.038,0.038,0.038,-0.305,-0.305
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnector.java,18,0.671,0.671,0.671,0.671,-0.141,-0.141
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java,62,0.92,0.04,0.92,0.04,0.945,0.066
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/NetworkConnectorView.java,15,0.262,0.262,0.262,0.262,0.351,0.351
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/NetworkConnectorViewMBean.java,10,0.617,0.617,0.617,0.617,0.755,0.755
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ProxyConnectorView.java,7,nan,nan,nan,nan,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java,101,0.292,0.292,0.292,0.292,0.397,0.397
activemq-broker/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java,52,0.838,0.838,0.838,0.838,0.857,0.857
activemq-broker/src/main/java/org/apache/activemq/broker/region/Destination.java,61,0.722,0.722,0.722,0.722,0.722,0.722
activemq-broker/src/main/java/org/apache/activemq/broker/region/DestinationStatistics.java,28,0.821,0.821,0.821,0.821,0.821,0.821
activemq-broker/src/main/java/org/apache/activemq/broker/region/DurableTopicSubscription.java,114,0.745,-0.329,0.745,-0.329,0.853,-0.422
activemq-broker/src/main/java/org/apache/activemq/broker/region/IndirectMessageReference.java,28,0.83,0.83,0.83,0.83,0.927,0.927
activemq-client/src/main/java/org/apache/activemq/broker/region/MessageReference.java,17,-0.811,-0.811,-0.811,-0.811,-0.823,-0.823
activemq-broker/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java,196,0.849,-0.9,0.849,-0.9,0.816,-0.861
activemq-broker/src/main/java/org/apache/activemq/broker/region/Queue.java,381,0.804,-0.443,0.804,-0.443,0.802,-0.425
activemq-broker/src/main/java/org/apache/activemq/broker/region/QueueBrowserSubscription.java,31,0.228,0.228,0.228,0.228,0.093,0.093
activemq-broker/src/main/java/org/apache/activemq/broker/region/QueueRegion.java,24,0.608,0.608,0.608,0.608,0.295,0.295
activemq-broker/src/main/java/org/apache/activemq/broker/region/QueueSubscription.java,53,0.39,-0.627,0.39,-0.627,-0.112,-0.144
activemq-broker/src/main/java/org/apache/activemq/broker/region/Region.java,27,0.946,0.946,0.946,0.946,0.954,0.954
activemq-broker/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,162,-0.157,-0.472,-0.157,-0.472,-0.1,-0.456
activemq-broker/src/main/java/org/apache/activemq/broker/region/Subscription.java,45,-0.345,-0.345,-0.345,-0.345,-0.394,-0.394
activemq-broker/src/main/java/org/apache/activemq/broker/region/TempQueueRegion.java,31,0.299,0.299,0.299,0.299,0.464,0.464
activemq-broker/src/main/java/org/apache/activemq/broker/region/TempTopicRegion.java,27,0.799,0.799,0.799,0.799,0.803,0.803
activemq-broker/src/main/java/org/apache/activemq/broker/region/Topic.java,180,0.915,-0.657,0.915,-0.657,0.604,-0.163
activemq-broker/src/main/java/org/apache/activemq/broker/region/TopicRegion.java,71,0.873,0.873,0.873,0.873,0.876,0.876
activemq-broker/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java,115,0.971,-0.715,0.971,-0.715,0.973,-0.639
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/FixedSizedSubscriptionRecoveryPolicy.java,17,0.436,0.436,0.436,0.436,0.976,0.976
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/LastImageSubscriptionRecoveryPolicy.java,18,0.609,0.609,0.609,0.609,0.943,0.943
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/NoSubscriptionRecoveryPolicy.java,17,0.955,0.955,0.955,0.955,0.938,0.938
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,105,0.772,0.772,0.772,0.772,0.766,0.766
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/PolicyMap.java,11,0.624,0.624,0.624,0.624,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/RoundRobinDispatchPolicy.java,20,0.866,0.866,0.866,0.866,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/StrictOrderDispatchPolicy.java,6,0.632,0.632,0.632,0.632,nan,nan
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/SubscriptionRecoveryPolicy.java,16,0.987,0.987,0.987,0.987,0.967,0.967
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/TimedSubscriptionRecoveryPolicy.java,18,0.763,0.814,0.763,0.814,0.734,0.865
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQBytesMessage.java,33,-0.557,0.878,-0.557,0.878,0.001,0.51
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQDestination.java,35,0.898,0.898,0.898,0.898,0.92,0.92
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQMapMessage.java,32,0.947,0.947,0.947,0.947,0.951,0.951
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQMessage.java,52,0.729,0.729,0.729,0.729,0.826,0.826
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQObjectMessage.java,29,0.286,0.88,0.286,0.88,0.296,0.919
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQQueue.java,13,-0.7,-0.7,-0.7,-0.7,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java,26,0.566,0.566,0.566,0.566,0.993,0.993
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTempDestination.java,15,-0.688,-0.688,-0.688,-0.688,-0.728,-0.728
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTempQueue.java,13,0.58,0.58,0.58,0.58,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTempTopic.java,14,0.57,0.57,0.57,0.57,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTextMessage.java,37,0.488,0.488,0.488,0.488,0.431,0.431
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTopic.java,12,-0.28,-0.28,-0.28,-0.28,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/BaseCommand.java,21,0.483,0.483,0.483,0.483,-0.071,-0.071
activemq-client/src/main/java/org/apache/activemq/command/BrokerId.java,12,0.095,0.095,0.095,0.095,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/BrokerInfo.java,24,0.813,0.813,0.813,0.813,0.808,0.808
activemq-client/src/main/java/org/apache/activemq/command/Command.java,18,0.531,0.531,0.531,0.531,0.654,0.654
activemq-client/src/main/java/org/apache/activemq/command/ConnectionId.java,13,0.626,0.626,0.626,0.626,0.658,0.658
activemq-client/src/main/java/org/apache/activemq/command/ConnectionInfo.java,23,-0.397,-0.397,-0.397,-0.397,-0.377,-0.377
activemq-client/src/main/java/org/apache/activemq/command/ConsumerId.java,13,0.262,0.262,0.262,0.262,0.329,0.329
activemq-client/src/main/java/org/apache/activemq/command/ConsumerInfo.java,35,0.815,0.815,0.815,0.815,0.808,0.808
activemq-client/src/main/java/org/apache/activemq/command/ControlCommand.java,12,0.919,0.919,0.919,0.919,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/DataArrayResponse.java,11,-0.719,-0.719,-0.719,-0.719,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/DataResponse.java,12,-0.812,-0.812,-0.812,-0.812,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/DataStructure.java,8,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/DestinationInfo.java,12,-0.881,-0.881,-0.881,-0.881,-0.823,-0.823
activemq-client/src/main/java/org/apache/activemq/command/DiscoveryEvent.java,15,0.931,0.931,0.931,0.931,0.956,0.956
activemq-client/src/main/java/org/apache/activemq/command/ExceptionResponse.java,11,0.404,0.404,0.404,0.404,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/FlushCommand.java,10,0.731,0.731,0.731,0.731,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/IntegerResponse.java,11,-0.404,-0.404,-0.404,-0.404,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/JournalQueueAck.java,12,-0.445,-0.445,-0.445,-0.445,-0.89,-0.89
activemq-client/src/main/java/org/apache/activemq/command/JournalTopicAck.java,12,0.361,0.361,0.361,0.361,0.025,0.025
activemq-client/src/main/java/org/apache/activemq/command/JournalTrace.java,13,0.907,0.907,0.907,0.907,0.864,0.864
activemq-client/src/main/java/org/apache/activemq/command/JournalTransaction.java,12,-0.674,-0.674,-0.674,-0.674,-0.727,-0.727
activemq-client/src/main/java/org/apache/activemq/command/KeepAliveInfo.java,18,0.915,0.915,0.915,0.915,0.869,0.869
activemq-client/src/main/java/org/apache/activemq/command/LocalTransactionId.java,13,0.72,0.72,0.72,0.72,0.719,0.719
activemq-client/src/main/java/org/apache/activemq/command/MarshallAware.java,12,0.816,0.816,0.816,0.816,1.0,1.0
activemq-client/src/main/java/org/apache/activemq/command/Message.java,64,0.91,-0.812,0.91,-0.812,0.906,-0.811
activemq-client/src/main/java/org/apache/activemq/command/MessageAck.java,19,0.795,0.795,0.795,0.795,0.826,0.826
activemq-client/src/main/java/org/apache/activemq/command/MessageDispatch.java,17,-0.372,-0.372,-0.372,-0.372,-0.261,-0.261
activemq-client/src/main/java/org/apache/activemq/command/MessageId.java,27,0.972,0.972,0.972,0.972,0.977,0.977
activemq-client/src/main/java/org/apache/activemq/command/ProducerId.java,13,0.619,0.619,0.619,0.619,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/ProducerInfo.java,16,0.944,0.944,0.944,0.944,0.946,0.946
activemq-client/src/main/java/org/apache/activemq/RedeliveryPolicy.java,26,0.69,0.69,0.69,0.69,0.641,0.641
