commit,commit_date,author_date,path,loc,lloc,comments,blanks,entities,inter_cd,intra_cd,cc
40a7d3b6ac35d2ecb34e85fc3403d2e48e33874e,2005-12-12 17:53:59+00:00,2005-12-12 17:53:59+00:00,activemq-core/src/main/java/org/activemq/broker/region/policy/PolicyEntry.java,80,80,"Moved the trunk code into the trunk sub directory

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@356304 13f79535-47bb-0310-9956-ffa450edef68",12,11,1.1449885264579471,1.1449885279385834,6
92a698fe42656274d0f3e31be415ba881b094b3f,2005-12-22 06:11:40+00:00,2005-12-22 06:11:40+00:00,activemq-core/src/main/java/org/activemq/broker/region/policy/PolicyEntry.java,79,79,"updated headers in source file to use apache header

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358513 13f79535-47bb-0310-9956-ffa450edef68",12,11,1.1449885264579471,1.1449885243473186,6
d29ca2a71b7fd281c15f7d05e135c196d2b2488c,2005-12-28 17:24:02+00:00,2005-12-28 17:24:02+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,79,79,"Refactor org.activemq -> org.apache.activemq


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359567 13f79535-47bb-0310-9956-ffa450edef68",12,11,1.1449885264579471,1.1449885243473186,6
48b4869472d647a890ce6905e7914b7d1ecde948,2005-12-29 02:15:21+00:00,2005-12-29 02:15:21+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,79,79,"Updated copyright headers to be (c) 2005-2006 


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359679 13f79535-47bb-0310-9956-ffa450edef68",12,11,1.1449885264579471,1.1449885243473186,6
c2408b8997e117db5bda579da612083fd44e27b4,2005-12-29 14:12:46+00:00,2005-12-29 14:12:46+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,92,92,"enable by default that non-persistent topic messages which have no consumers are sent to a dead letter topic

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359800 13f79535-47bb-0310-9956-ffa450edef68",13,14,1.2205231227025906,1.220523122631052,6
27f7cab3e8bebad9a6d2c96ebb81482e2a56dd69,2005-12-29 15:17:19+00:00,2005-12-29 15:17:19+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,92,92,"added test case to show AMQ-458 working

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359819 13f79535-47bb-0310-9956-ffa450edef68",13,14,1.220951199857366,1.2209511979182928,6
88203aea9bbf4ea1284f2350cd28f1ee21b1d953,2005-12-30 14:05:51+00:00,2005-12-30 14:05:51+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,106,106,"added the ability to configure the DLQ policy on a per destination basis; either use 1 global DLQ for all messages or use 1 DLQ for a bunch of messages via a wildcard PolicyEntry or use an individual DLQ per destination (which again can be attached to a wildcard via a PolicyEntry)
fixes AMQ-459

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360089 13f79535-47bb-0310-9956-ffa450edef68",17,17,1.259535711917621,1.2595357116769916,6
10c6b2964fc716a10f22f5b37bbac46c3a0f4a7d,2005-12-30 15:36:19+00:00,2005-12-30 15:36:19+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,112,112,"added test cases to demonstrate shared and individual DLQ strategies; which highlight a bug in the rollback logic in the client

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360108 13f79535-47bb-0310-9956-ffa450edef68",17,17,1.2536795750479834,1.2536795752981604,10
8f22cfa4fc2c45c10d9df30e89e79b469844e71a,2006-01-04 10:31:15+00:00,2006-01-04 10:31:15+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,102,102,"make destinations sortable

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365883 13f79535-47bb-0310-9956-ffa450edef68",15,14,1.2429648515096587,1.2429648515477545,10
d7f91463d6c597fe301c328c9173703590cf17a5,2006-01-05 15:58:49+00:00,2006-01-05 15:58:49+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,118,118,"enabled the hash bucket based implementation of MessageGroupMap by default and made the bucketCount configurable in the destination policy map

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@366208 13f79535-47bb-0310-9956-ffa450edef68",17,17,1.3381736271553077,1.3381736228023424,10
68d245f4bf31495554ac6f5c9bc6df450fff43fd,2006-02-09 21:41:59+00:00,2006-02-09 21:41:59+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,118,118,"Migrated to using xbean 2.2-SNAPSHOT



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376445 13f79535-47bb-0310-9956-ffa450edef68",17,17,1.3381736271553077,1.3381736259970658,10
